관광지명,주소,엘리베이터,장애인주차구역,장애인 이용가능시설,경사로,관광안내소,장애인화장실,휠체어대여소,음식점,입식테이블,휠체어 리프트,카테고리,위도,경도,사진
마비정벽화마을,대구광역시 달서구 화원읍 본리리 1399,,,있음,있음,,,,,,,명소,35.7785263,128.5414969,https://velog.velcdn.com/images/kiw0n/post/c3aeba99-fb2d-40d9-8f31-75d426097058/image.jpeg
두류공원,대구광역시 달서구 공원순환로 201,,있음,있음,있음,,있음,,,,,공원,35.84473836,128.5580764,https://velog.velcdn.com/images/kiw0n/post/70ce643d-055c-4dff-b769-08a43c087d33/image.jpeg
동화사,대구광역시 동구 동화사1길(도학동 35),있음,있음,있음,있음,있음,있음,,,,,사찰,35.98485951,128.7002924,https://velog.velcdn.com/images/kiw0n/post/c7b701be-a841-469a-aa9b-485a5f327bb7/image.jpeg
동인동찜갈비골목,대구광역시 중구 동인동 일대,,,있음,,,,,있음,있음,,명소,35.8702927,128.6072928,https://velog.velcdn.com/images/kiw0n/post/e3858374-7ef5-4d77-b2b7-949a8f7bcc31/image.jpeg
동성로,대구광역시 중구 동성로3가,,있음,있음,,있음,있음,,,,,명소,35.86734193,128.594311,https://velog.velcdn.com/images/kiw0n/post/67a9f334-80e4-4702-a198-151524c7b888/image.jpeg
대구향교,대구광역시 중구 명륜로 112,있음,있음,있음,있음,,있음,,,,,명소,35.85974263,128.5956242,https://velog.velcdn.com/images/kiw0n/post/dd1396ad-395a-4262-b939-cf37e4139952/image.jpeg
대구시민안전테마파크,대구광역시 동구 팔공산로 1155,,있음,있음,있음,,있음,있음,,,,테마파크,35.98920571,128.6919795,https://velog.velcdn.com/images/kiw0n/post/692df460-e4bb-4160-aa03-35175d61a7b3/image.jpeg
대구스타디움,대구광역시 수성구 유니버시아드로 180,,있음,있음,있음,,있음,,있음,,,스포츠 시설,35.82976814,128.6901638,https://velog.velcdn.com/images/kiw0n/post/d6cb1f67-8a11-4ddc-914f-2827c0b8a269/image.jpeg
대구수목원,대구광역시 달서구 화암로 342,,있음,있음,있음,,있음,,,,,수목원,35.80069896,128.5200044,https://velog.velcdn.com/images/kiw0n/post/977727b7-7ead-40ea-a3ba-67271da017ed/image.jpeg
대구방짜유기박물관,대구광역시 동구 도장길 29,있음,있음,있음,있음,,있음,있음,,,,박물관,35.96545542,128.7013639,https://velog.velcdn.com/images/kiw0n/post/9bed09c2-fe17-456a-ba25-6d543e1fa747/image.jpeg
대구미술관,대구광역시 수성구 미술관로 40,있음,있음,있음,있음,,있음,,,,,미술관,35.82704909,128.6741204,https://velog.velcdn.com/images/kiw0n/post/e3b65a87-b496-4761-8024-7b7b52aba3c8/image.jpeg
대구골목투어,대구광역시 중구 경상감영길 99,,,있음,있음,있음,있음,,,,,명소,35.87267485,128.5916855,https://velog.velcdn.com/images/kiw0n/post/23db9854-2fca-4834-bd71-c8290e8c3cd6/image.jpeg
달성공원,대구광역시 중구 달성동 294-1,,있음,있음,있음,있음,있음,있음,,,있음,공원,35.87400268,128.5793376,https://velog.velcdn.com/images/kiw0n/post/fe306781-edb5-4244-aaab-d2cf4ecaca82/image.jpeg
김광석 다시그리기 길,대구광역시 중구 대봉동(방천시장 바로 옆 위치),,,있음,있음,있음,있음,,,,,명소,35.86167842,128.6043822,https://velog.velcdn.com/images/kiw0n/post/b74328b2-38ea-43b1-9c37-f50e51b33e86/image.jpeg
국립대구박물관,대구광역시 수성구 유니버시아드로 180,,있음,,있음,있음,있음,있음,,,,박물관,35.82976814,128.6901638,https://velog.velcdn.com/images/kiw0n/post/47555b61-fd85-4f4c-859d-435e1a291495/image.jpeg
화원자연휴양림,대구광역시 달성군 본리리 산 129,,있음,있음,있음,,있음,,,,,명소,35.74262247,128.4808765,https://velog.velcdn.com/images/kiw0n/post/be096c16-7088-49c9-a32c-eb4bd15cbe32/image.jpeg
강정고령보,대구광역시 달성군 다사읍 죽곡리 806,있음,있음,,있음,있음,있음,,,,,명소,35.8449798,128.4697247,https://velog.velcdn.com/images/kiw0n/post/12fbaf1f-cefa-487b-8b30-4570aea3cc4f/image.jpeg
